id,Job Type,Vendor,Contact,Phone,Email
,,,,,
1,Plans/ Permits,Abadan Reprographics & Imaging,Ron,509-624-0116,repro@abadanspokane.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2,Excavation,The Rock Whisperer LLC,Chris,509-216-0423,dundee0423@gmail.com 
,,,,,
,,Mark Whitney Construction Inc.,Mark,509-230-1058,mwhi698228@aol.com
,,,,,
,,Steffen Construction,Wade,509-671-1988,marksteffan@msn.com 
,,,,,
,,,,,
,,,,,
3,Footings,Cook Forms,Steve ,509-993-4164,cookforms@yahoo.com
,,,,,
,,CAD of Spokane Inc.,Scott,509-924-8868,cadman@ptera.net
,,,,,
,,F&F Foundations,TJ,509-990-3307,tjayframpton@msn.com
,,,,,
,,,,,
,,,,,
3.5,Foundation,Spokane Rock Products,,509-244-5421,
,,,,,
,,Central Pre-Mix Concrete Co.,Jeff,509-534-6221,bbuck@oldcastlematerials.com
,,,,,
,,CAD of Spokane Inc.,Scott,509-924-8868,cadman@ptera.net
,,,,,
,,,,,
,,,,,
5,Water Proofing,Chuck's Coatings,Chuck,509-292-9464,No email- Fax 509-292-8334 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
6,Framing Labor,Patap Construction LLC,Mike,509-710-6638,patapconstruction@yahoo.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7,Framing Material & Trusses,ProBuild,Mark,509-924-2420,mark.newman@probuild.com
,,,,,
,,Parr Lumber,Adam,509-922-7277,adam.brenden@parr.com
,,,,,
,,Coeur d'Alene Builder Supply,Brandon,208-667-6481,mikeu@cdabuilders.com
,,,,,
,,,,,
,,,,,
8,Windows,ProBuild,Mark,509-924-2420,mark.newman@probuild.com
,,,,,
,,Parr Lumber,Adam,509-922-7277,adam.brenden@parr.com
,,,,,
,,Coeur d'Alene Builder Supply,Brandon,208-667-6481,mikeu@cdabuilders.com
,,,,,
,,,,,
,,,,,
8.3,Exterior Doors,ProBuild,Mark,509-924-2420,mark.newman@probuild.com
,,,,,
,,Parr Lumber,Adam,509-922-7277,adam.brenden@parr.com
,,,,,
,,Coeur d'Alene Builder Supply,Brandon,208-667-6481,mikeu@cdabuilders.com
,,,,,
,,,,,
,,,,,
9,Garage Door,Continental Door Company LLC,Derrick,509-921-2260,dmorse@continentaldoorco.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10,Plumbing,United Plumbing Inc.,Cliff,509-953-1418,cliff@unitedplumbingcorp.com
,,,,,
,,Expert Plumbing,Josh,509-990-0176,joshdeschamp@yahoo.com
,,,,,
,,,,,
,,,,,
11,HVAC,R&R Heating & A/C Inc.,Carl,509-484-1405,jfifield@randrheating.com
,,,,,
,,Advanced Tech. Heating & Cooling,Jason,208-704-0091,advtechheatcool@yahoo.com
,,,,,
,,,,,
,,,,,
